Dye,Rxn Time (min),Removal %
MB,0,0
MB,5,0.630869625
MB,10,0.665654338
MB,15,0.707449401
MB,20,0.742451946
MB,25,0.767709303
MO,0,0
MO,5,0.21677694
MO,10,0.366439574
MO,15,0.486212652
MO,20,0.59249582
MO,25,0.684015593
Tart,0,0
Tart,5,0.3173005
Tart,10,0.481533683
Tart,15,0.609488611
Tart,20,0.7319636
Tart,25,0.824533475
RhB,0,0
RhB,5,0.323257952
RhB,10,0.474698961
RhB,15,0.569904372
RhB,20,0.64332322
RhB,25,0.702020153
R6G,0,0
R6G,5,0.33170393
R6G,10,0.492959537
R6G,15,0.609749867
R6G,20,0.698464267
R6G,25,0.758447085
Am,0,0
Am,5,0.377279119
Am,10,0.539295747
Am,15,0.662761295
Am,20,0.766951052
Am,25,0.862063732
CV,0,0
CV,5,0.371693183
CV,10,0.557108494
CV,15,0.681318565
CV,20,0.766301034
CV,25,0.824473116
MaG,0,0
MaG,5,0.168677181
MaG,10,0.288639904
MaG,15,0.370085843
MaG,20,0.450592706
MaG,25,0.528626247
Ab,0,0
Ab,5,0.332154493
Ab,10,0.479211203
Ab,15,0.600004762
Ab,20,0.69161015
Ab,25,0.761984872
PonS,0,0
PonS,5,0.298213914
PonS,10,0.466826225
PonS,15,0.585410005
PonS,20,0.693713895
PonS,25,0.779057698
BBR,0,0
BBR,5,0.255740415
BBR,10,0.413488947
BBR,15,0.509526436
BBR,20,0.580584613
BBR,25,0.632134495
BBG,0,0
BBG,5,0.257980938
BBG,10,0.410838867
BBG,15,0.516512337
BBG,20,0.590032754
BBG,25,0.647306775
CB,0,0
CB,5,0.073289971
CB,10,0.165896076
CB,15,0.248498956
CB,20,0.316907209
CB,25,0.386570749
BPB,0,0
BPB,5,0.258294357
BPB,10,0.417172949
BPB,15,0.56090221
BPB,20,0.679590228
BPB,25,0.778657745
Erio,0,0
Erio,5,0.473895507
Erio,10,0.683165479
Erio,15,0.786962792
Erio,20,0.85255443
Erio,25,0.896010335
Reso,0,0
Reso,5,0.430970773
Reso,10,0.578440776
Reso,15,0.734416517
Reso,20,0.831068382
Reso,25,0.979403556
DMMB,0,0
DMMB,5,0.457122427
DMMB,10,0.546898377
DMMB,15,0.602566636
DMMB,20,0.660136439
DMMB,25,0.709922839
DR80,0,0
DR80,5,0.123485477
DR80,10,0.231915499
DR80,15,0.321952044
DR80,20,0.401402608
DR80,25,0.474611763
BF,0,0
BF,5,0.409810274
BF,10,0.664774057
BF,15,0.819425115
BF,20,0.916244392
BF,25,0.97985128
Congo,0,0
Congo,5,0.146260385
Congo,10,0.236394499
Congo,15,0.313580923
Congo,20,0.377740601
Congo,25,0.440317792
FBMBSN,0,0
FBMBSN,5,0.156185619
FBMBSN,10,0.288231463
FBMBSN,15,0.390434943
FBMBSN,20,0.477782748
FBMBSN,25,0.55062351
Fl,0,0
Fl,5,0.525021521
Fl,10,0.751921748
Fl,15,0.868798029
Fl,20,0.93010951
Fl,25,0.983809484
NBA,0,0
NBA,5,0.516712422
NBA,10,0.769878623
NBA,15,0.84382575
NBA,20,0.892955903
NBA,25,0.938927331
OG,0,0
OG,5,0.395380089
OG,10,0.589354721
OG,15,0.73264155
OG,20,0.833191276
OG,25,0.911265096
MG,0,0
MG,5,-0.083782034
MG,10,0.317431917
MG,15,0.545282972
MG,20,0.687243428
MG,25,0.777170145
BCB,0,0
BCB,5,0.245935326
BCB,10,0.432011591
BCB,15,0.578783568
BCB,20,0.69425732
BCB,25,0.782470037
CS-3B,0,0
CS-3B,5,0.213505003
CS-3B,10,0.363633351
CS-3B,15,0.501264366
CS-3B,20,0.613979476
CS-3B,25,0.696951403
