Dye,Rxn Time (min),Removal %,Full_Name,SMILES,Labute_ASA,LogP,HBD,HBA,Aromatic_Rings,Rotatable_Bonds,Fraction_Csp3
MB,0,0.0,Methylene Blue,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2.[Cl-],134.498,-0.497,0,3,1,1,0.25
MB,5,0.630869625,Methylene Blue,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2.[Cl-],134.498,-0.497,0,3,1,1,0.25
MB,10,0.665654338,Methylene Blue,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2.[Cl-],134.498,-0.497,0,3,1,1,0.25
MB,15,0.707449401,Methylene Blue,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2.[Cl-],134.498,-0.497,0,3,1,1,0.25
MB,20,0.742451946,Methylene Blue,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2.[Cl-],134.498,-0.497,0,3,1,1,0.25
MB,25,0.767709303,Methylene Blue,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2.[Cl-],134.498,-0.497,0,3,1,1,0.25
MO,0,0.0,Methyl Orange,CN(C)C1=CC=C(C=C1)N=NC2=CC=C(C=C2)S(=O)(=O)[O-].[Na+],151.467,0.076,0,6,2,4,0.143
MO,5,0.21677694,Methyl Orange,CN(C)C1=CC=C(C=C1)N=NC2=CC=C(C=C2)S(=O)(=O)[O-].[Na+],151.467,0.076,0,6,2,4,0.143
MO,10,0.366439574,Methyl Orange,CN(C)C1=CC=C(C=C1)N=NC2=CC=C(C=C2)S(=O)(=O)[O-].[Na+],151.467,0.076,0,6,2,4,0.143
MO,15,0.486212652,Methyl Orange,CN(C)C1=CC=C(C=C1)N=NC2=CC=C(C=C2)S(=O)(=O)[O-].[Na+],151.467,0.076,0,6,2,4,0.143
MO,20,0.59249582,Methyl Orange,CN(C)C1=CC=C(C=C1)N=NC2=CC=C(C=C2)S(=O)(=O)[O-].[Na+],151.467,0.076,0,6,2,4,0.143
MO,25,0.684015593,Methyl Orange,CN(C)C1=CC=C(C=C1)N=NC2=CC=C(C=C2)S(=O)(=O)[O-].[Na+],151.467,0.076,0,6,2,4,0.143
Tart,0,0.0,Tartrazine,C1=CC(=CC=C1N=NC2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],259.629,-9.888,0,12,2,6,0.062
Tart,5,0.3173005,Tartrazine,C1=CC(=CC=C1N=NC2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],259.629,-9.888,0,12,2,6,0.062
Tart,10,0.481533683,Tartrazine,C1=CC(=CC=C1N=NC2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],259.629,-9.888,0,12,2,6,0.062
Tart,15,0.609488611,Tartrazine,C1=CC(=CC=C1N=NC2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],259.629,-9.888,0,12,2,6,0.062
Tart,20,0.7319636,Tartrazine,C1=CC(=CC=C1N=NC2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],259.629,-9.888,0,12,2,6,0.062
Tart,25,0.824533475,Tartrazine,C1=CC(=CC=C1N=NC2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],259.629,-9.888,0,12,2,6,0.062
RhB,0,0.0,Rhodamine B,CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=CC=CC=C4C(=O)O.[Cl-],206.27,2.565,1,3,2,7,0.286
RhB,5,0.323257952,Rhodamine B,CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=CC=CC=C4C(=O)O.[Cl-],206.27,2.565,1,3,2,7,0.286
RhB,10,0.474698961,Rhodamine B,CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=CC=CC=C4C(=O)O.[Cl-],206.27,2.565,1,3,2,7,0.286
RhB,15,0.569904372,Rhodamine B,CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=CC=CC=C4C(=O)O.[Cl-],206.27,2.565,1,3,2,7,0.286
RhB,20,0.64332322,Rhodamine B,CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=CC=CC=C4C(=O)O.[Cl-],206.27,2.565,1,3,2,7,0.286
RhB,25,0.702020153,Rhodamine B,CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=CC=CC=C4C(=O)O.[Cl-],206.27,2.565,1,3,2,7,0.286
R6G,0,0.0,Rhodamine 6G,CCNC1=CC2=C(C=C1C)C(=C3C=C(C(=[NH+]CC)C=C3O2)C)C4=CC=CC=C4C(=O)OCC.[Cl-],206.169,1.435,2,4,2,6,0.286
R6G,5,0.33170393,Rhodamine 6G,CCNC1=CC2=C(C=C1C)C(=C3C=C(C(=[NH+]CC)C=C3O2)C)C4=CC=CC=C4C(=O)OCC.[Cl-],206.169,1.435,2,4,2,6,0.286
R6G,10,0.492959537,Rhodamine 6G,CCNC1=CC2=C(C=C1C)C(=C3C=C(C(=[NH+]CC)C=C3O2)C)C4=CC=CC=C4C(=O)OCC.[Cl-],206.169,1.435,2,4,2,6,0.286
R6G,15,0.609749867,Rhodamine 6G,CCNC1=CC2=C(C=C1C)C(=C3C=C(C(=[NH+]CC)C=C3O2)C)C4=CC=CC=C4C(=O)OCC.[Cl-],206.169,1.435,2,4,2,6,0.286
R6G,20,0.698464267,Rhodamine 6G,CCNC1=CC2=C(C=C1C)C(=C3C=C(C(=[NH+]CC)C=C3O2)C)C4=CC=CC=C4C(=O)OCC.[Cl-],206.169,1.435,2,4,2,6,0.286
R6G,25,0.758447085,Rhodamine 6G,CCNC1=CC2=C(C=C1C)C(=C3C=C(C(=[NH+]CC)C=C3O2)C)C4=CC=CC=C4C(=O)OCC.[Cl-],206.169,1.435,2,4,2,6,0.286
Am,0,0.0,Amaranth,C1=CC=C2C(=C1)C(=CC=C2S(=O)(=O)[O-])N=NC3=C4C=CC(=CC4=CC(=C3O)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],283.219,-6.162,1,12,4,5,0.0
Am,5,0.377279119,Amaranth,C1=CC=C2C(=C1)C(=CC=C2S(=O)(=O)[O-])N=NC3=C4C=CC(=CC4=CC(=C3O)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],283.219,-6.162,1,12,4,5,0.0
Am,10,0.539295747,Amaranth,C1=CC=C2C(=C1)C(=CC=C2S(=O)(=O)[O-])N=NC3=C4C=CC(=CC4=CC(=C3O)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],283.219,-6.162,1,12,4,5,0.0
Am,15,0.662761295,Amaranth,C1=CC=C2C(=C1)C(=CC=C2S(=O)(=O)[O-])N=NC3=C4C=CC(=CC4=CC(=C3O)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],283.219,-6.162,1,12,4,5,0.0
Am,20,0.766951052,Amaranth,C1=CC=C2C(=C1)C(=CC=C2S(=O)(=O)[O-])N=NC3=C4C=CC(=CC4=CC(=C3O)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],283.219,-6.162,1,12,4,5,0.0
Am,25,0.862063732,Amaranth,C1=CC=C2C(=C1)C(=CC=C2S(=O)(=O)[O-])N=NC3=C4C=CC(=CC4=CC(=C3O)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],283.219,-6.162,1,12,4,5,0.0
CV,0,0.0,Crystal Violet,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-],180.936,1.464,0,2,2,4,0.24
CV,5,0.371693183,Crystal Violet,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-],180.936,1.464,0,2,2,4,0.24
CV,10,0.557108494,Crystal Violet,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-],180.936,1.464,0,2,2,4,0.24
CV,15,0.681318565,Crystal Violet,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-],180.936,1.464,0,2,2,4,0.24
CV,20,0.766301034,Crystal Violet,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-],180.936,1.464,0,2,2,4,0.24
